mouseNum,sex,pgm,chitau,ontau,tauoff,phase,amp,act,alpha,sdon,offsd,onoff,slop,D1Mit3,D1Mit22,D1Mit44,D1Mit33,D1Mit17,D2Mit1,D2Mit365,D2Mit56,D2Mit43,D2Mit48,D2Mit230,D3Mit131,D3Mit6,D3Mit11,D3Mit17,D3Mit162,D3Mit19,D4Mit1,D4Mit105,D4Mit108,D4Mit53,D4Mit139,D4Mit178,D4Mit27,D4Mit31,D4Mit203,D4Mit131,D5Mit73,D5Mit11,D5Mit135,D5Mit309,D5Mit398,D5Mit188,D5Mit95,D5Mit30,D5Mit98,D5Mit223,D6Mit1,D6Mit74,D6Mit19,D6Mit39,D6Mit15,D7Mit152,D7Mit25,D7Mit30,D7Mit68,D7Mit46,D8Mit58,D8Mit4,D8Mit25,D8Mit84,D8Mit47,D8Mit200,D8Mit13,D8Mit14,D8Mit42,D9Mit2,D9Mit4,D9Mit11,D9Mit37,D10NDs1,D10Mit51,D10Mit86,D10Mit170,D10Mit31,D10Mit10,D10Mit14,D10Mit233,D10Mit264,D11Mit2,D11Mit5,D11Mit59,D11Mit168,D12Mit81,D12Mit46,D12Mit236,D12Mit251,D12Mit71,D12Mit74,D12Mit5,D12Mit205,D12Mit260,D12Mit7,D12Mit195,D12Mit122,D12Mit150,vip,D12Mit263,D12Mit18,D13Mit13,D13Mit30,D13Mit53,D13Mit151,D14Mit14,D14Mit28,D14Mit7,D14Mit9,D14Mit34,D14Mit228,D15Mit53,D15Mit28,D15Mit35,D16Mit9,D16Mit4,D16Mit27,D16Mit106,D17Mit18,D17Mit6,D17Mit39,D18Mit18,D18Mit17,D18Mit40,D18Mit4,D19Mit93,D19Mit68,D19Mit28,D19Mit40,D19Mit46,D19Mit11,D19Mit1,D19Mit71,DXMit27,DXMit22,DXMit79,DXMit20
39,1,0,23.85,23.6,23.97,0,4.71,29981,14.93,1.48,0.98,1.51,3,H,H,H,H,A,H,H,A,H,H,H,B,B,B,H,A,A,H,H,B,B,A,H,H,H,H,H,B,-,H,H,H,A,A,A,H,H,B,B,B,B,H,B,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,H,H,H,H,A,A,A,A,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,H,B,B,H,B,B,H,H,B,A,A,A,A,B,A,B,H,H,A,A,H,H,H,B,B,B,B,B,A,A,A,A
40,1,0,23.75,23.79,23.78,-1.41,11.82,51006,13.28,0.7,1.05,0.667,0,H,H,A,A,A,A,A,B,B,H,H,H,H,H,A,A,A,A,A,A,H,H,H,B,B,B,H,B,-,A,A,A,A,B,B,B,B,B,B,B,H,H,H,H,H,B,B,H,A,H,H,H,H,A,H,H,H,H,A,H,B,B,B,B,H,H,H,H,H,H,H,H,A,B,H,H,H,A,A,A,H,H,H,H,H,-,H,H,H,H,H,H,-,B,B,B,B,B,B,H,H,H,H,H,H,B,B,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,B,B
41,1,0,23.93,24.01,24.21,-2.73,6.09,29102,14.91,0.79,1.04,0.76,1,H,H,H,A,H,H,H,H,A,H,H,A,A,A,H,H,H,H,H,A,A,A,A,A,A,H,H,H,-,B,H,H,H,H,H,H,H,A,A,-,A,H,H,A,A,A,H,A,H,H,H,H,H,A,H,H,A,A,H,H,A,H,H,H,H,H,H,H,H,H,B,H,H,B,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,H,H,H,H,H,H,H,H,H,H,H,A,A,H,H,H,A,A,A,A,H,H,H,H,H,B,B,H,B,B,B,B
42,0,0,23.55,23.51,23.39,-0.11,12.24,55974,14.75,1.7,1.61,1.056,0,H,H,H,H,H,H,B,H,H,A,A,B,B,B,H,H,H,A,A,A,A,A,H,H,H,B,B,B,-,H,H,H,H,H,H,H,H,B,H,H,A,H,B,B,B,B,H,H,B,-,B,B,B,B,B,B,H,H,H,A,A,H,A,H,H,H,H,H,H,B,B,B,H,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,A,H,H,H,H,H,H,H,H,A,A,H,H,B,H,H,H,A,A,H,H,H,H,A,A,A,H,H,A,H,H,H
43,0,0,22.97,23,23.11,-2.5,14.31,59504,12.76,1.5,1.08,1.389,1,A,A,A,H,H,B,H,H,A,A,B,H,B,B,B,B,B,H,H,H,H,H,H,H,H,H,A,A,-,A,A,A,A,H,H,H,H,B,H,H,H,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,H,B,H,B,H,H,B,B,B,B,B,H,B,B,H,B,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,B,H,H,H,B,H,H,A,H,H,H,B,B,H,H,B,H,B,B,H,B,H,A,A,A,A,A,A,A,A,A,A,H,H,H,H
44,0,0,23.58,23.7,23.48,-0.45,8.18,68164,11.21,0.56,1.05,0.533,1,B,A,A,A,H,B,H,H,H,A,H,A,A,H,B,B,B,H,H,H,H,H,H,H,H,A,B,A,-,A,A,A,A,A,A,A,A,B,B,B,B,H,H,H,H,A,A,A,H,B,B,B,B,B,B,B,H,H,B,B,B,B,B,B,B,H,H,H,H,H,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,B,B,B,B,B,B,H,B,B,H,H,H,H,B,B,H,H,H,A,A,H,H,A,A,A,A,A,H,A,H,H,H
45,1,0,23.53,23.42,23.39,-2.43,11.68,43591,12.42,0.75,1.36,0.551,1,H,H,B,H,A,A,A,H,H,H,B,H,H,H,B,B,B,H,H,H,H,H,H,H,H,A,A,H,-,H,H,H,A,A,A,A,A,B,B,B,B,B,H,H,B,B,B,B,B,B,B,H,H,B,H,H,B,B,B,B,H,H,H,H,H,H,H,H,H,H,B,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,H,B,B,H,B,H,A,A,H,H,H,A,B,B,B,B,B,B,B,A,A,A,A,A,H,H,H,B,B,A,A
46,1,0,23.5,23.42,23.53,-0.27,14.83,57594,11.94,0.64,1.03,0.621,1,A,A,A,A,H,B,B,H,H,H,H,A,A,A,H,B,B,A,H,H,H,H,H,H,A,H,H,H,-,A,A,A,A,A,A,A,H,H,H,A,A,H,B,B,H,H,H,H,B,H,H,A,A,B,A,A,H,B,H,B,B,B,B,B,B,B,B,B,B,B,H,A,H,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,B,B,B,B,H,A,A,H,A,A,H,A,A,A,H,H,H,H,B,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B
47,1,0,23.83,23.84,23.81,-0.41,16.25,59620,13.37,0.15,0.68,0.221,0,B,H,B,A,A,B,B,H,H,A,H,B,H,B,B,B,B,A,A,A,A,A,A,A,A,B,B,H,-,A,A,A,A,A,H,A,H,H,H,H,H,H,H,H,A,A,H,A,A,H,H,H,H,H,H,H,A,H,A,H,A,A,A,H,H,B,B,B,B,H,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,A,A,A,A,H,H,H,B,H,H,A,A,A,A,A,A,A,A,A,A,A,A,B,B
48,1,0,23.73,23.71,23.81,0.28,18.87,47099,12.5,0.53,0.43,1.233,0,H,H,H,B,B,H,H,H,H,B,B,A,H,B,H,H,H,A,A,A,A,A,A,H,H,H,H,H,-,H,A,A,H,B,B,B,-,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,H,B,B,B,H,H,H,H,H,B,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,H,H,B,B,B,B,B,B,B,A,H,H,H,B,B,B,B,B,H,H,H,H,H,A,A,A,A,A,H,A,A,B,A,B,B
49,1,0,23.43,23.51,23.27,-1.7,17.85,70326,12.13,0.72,1.07,0.673,0,B,H,B,H,B,A,H,H,B,H,H,B,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,A,-,H,H,H,H,H,H,H,H,H,H,A,H,H,H,H,H,H,H,B,B,H,H,H,H,H,H,H,H,H,H,A,H,H,H,H,B,B,B,B,B,A,H,H,H,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,B,H,A,A,H,A,H,H,H,H,H,H,H,B,A,H,H,H,H,B,B,B,B,B,B,H,H,A,A,A,B,B
50,1,0,23.5,23.36,23.49,-3.75,8.39,32692,14.12,0.73,1.28,0.57,0,H,A,H,A,H,H,H,H,A,A,H,A,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,-,H,H,H,H,H,H,H,H,B,B,B,B,H,H,H,B,B,B,H,H,A,A,A,A,H,A,A,H,B,B,H,A,A,A,H,H,H,H,H,H,H,A,H,H,B,H,H,A,B,H,H,H,H,-,-,H,B,B,B,B,A,H,H,H,B,B,H,H,B,H,H,A,A,H,H,H,B,B,H,H,B,H,H,H,H,H,H,H,H,H,H,A,A,B,B,A
51,0,0,23.72,23.69,23.78,-0.23,23.26,39352,11.09,0.24,0.68,0.353,0,B,H,B,H,A,H,B,B,B,B,B,H,H,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,B,B,H,A,A,B,B,B,B,H,B,B,H,H,A,H,B,H,H,H,A,A,A,A,A,H,B,B,B,B,B,B,B,H,H,H,H,H,A,A,A,A,A,A,A,H,B,B,B,H,B,B,B,B,B,H,H,H,B,B,B,H,A,H,H,H,H,H,H,H,H,H,H,H,H,B,B,A,A,A,A
52,0,0,23.13,23.15,23.14,-0.18,15.51,38358,12.08,0.37,0.6,0.617,0,H,H,H,B,B,H,H,H,H,H,A,H,A,-,H,H,H,B,B,B,B,B,B,B,H,H,H,H,-,A,A,H,H,H,H,H,H,A,A,A,H,H,H,H,B,B,B,A,A,A,A,H,A,A,H,H,H,H,H,A,H,H,H,H,B,B,B,B,B,A,A,A,A,H,H,H,H,H,H,A,A,-,A,A,A,A,A,A,A,H,B,B,B,H,H,H,H,H,H,B,B,H,H,H,B,H,H,A,A,B,B,B,B,H,H,H,H,A,A,A,A,H,H,A,A
53,0,0,23.7,23.62,23.68,-1.7,5.16,32733,18.7,0.75,0.54,1.389,3,A,A,A,H,B,A,A,H,B,B,H,A,A,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,-,H,H,A,A,H,H,H,H,A,A,A,B,B,H,H,A,B,B,A,A,A,A,H,H,A,H,H,B,H,B,H,B,B,B,B,H,H,H,H,H,B,B,B,H,H,H,H,H,H,H,A,H,H,H,H,H,H,H,H,H,H,A,H,A,A,A,A,B,A,A,B,H,H,H,H,B,B,B,H,B,B,B,B,H,H,H,H,H,H,H,H,H,A,A,B,B
54,1,0,22.77,22.78,22.96,-0.64,19,31351,11.05,0.37,1.14,0.325,0,H,B,H,B,B,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,-,B,B,H,H,H,H,H,H,B,B,H,A,A,B,B,B,B,H,H,B,A,H,A,A,B,A,A,B,B,H,B,H,-,B,H,H,H,H,H,H,B,B,A,A,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,B,B,B,H,H,A,A,H,A,H,H,H,H,H,H,A,H,H,B,A,B,B,B,H,B,B,B,H,A,A,A,A,B,B,B,B
55,1,0,22.83,22.92,23.09,-2.3,19.8,32985,11.35,0.69,1.13,0.611,0,H,A,H,A,A,B,H,A,A,A,A,H,A,A,H,H,H,B,B,B,B,B,B,B,B,B,H,A,-,B,B,B,B,H,H,H,A,B,B,H,A,A,B,H,H,H,B,A,A,A,A,A,A,A,A,A,B,B,B,H,B,H,H,A,H,H,A,A,H,A,A,A,A,A,A,A,A,-,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,H,H,H,H,H,-,H,H,H,B,B,B,H,H,H,A,H,H,B,H,H,H,H,A,A,A,A,A,A,H,A
56,1,0,23.6,23.58,23.67,-1.7,16.4,37743,15.89,1.46,0.36,4.056,1,H,B,H,B,B,A,A,H,A,H,H,A,H,-,A,H,H,B,B,B,B,B,A,A,A,A,A,B,-,B,B,B,B,H,H,H,A,B,B,B,B,A,B,B,B,B,B,H,H,H,H,H,H,H,H,H,-,B,B,B,A,A,A,A,A,A,A,A,A,H,H,A,A,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,B,H,A,A,A,H,H,H,H,H,A,H,A,H,A,A,H,B,B,H,H,H,H,B,B,B,B,H,H,H,H,H,A,A,A,A
57,0,0,23.12,23.12,23.02,-2.5,10.86,29525,13.06,0.81,0.59,1.373,0,B,B,B,H,H,A,A,A,A,A,A,H,H,H,H,A,B,H,H,H,H,H,H,H,H,H,H,A,-,A,A,B,B,H,H,H,B,A,A,A,A,A,A,A,H,H,A,B,B,H,H,B,B,B,B,B,H,B,H,B,H,H,H,H,H,A,A,A,A,H,A,A,A,H,H,A,A,A,A,A,A,H,H,H,B,B,B,B,B,A,A,H,A,A,A,A,B,A,A,H,H,B,H,H,H,A,A,A,A,H,H,H,A,H,H,H,B,H,H,H,H,A,A,A,A
58,0,0,23.68,23.68,23.57,0,6.44,23667,12.28,0.14,0.76,0.184,0,B,B,B,B,H,H,H,A,H,B,B,A,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,A,-,A,A,A,A,A,A,A,A,H,H,A,A,A,B,B,B,B,B,H,H,B,H,B,B,H,B,B,H,H,H,H,H,H,H,H,H,H,B,B,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,B,B,H,H,H,H,B,A,H,B,H,H,B,H,H,A,A,B,H,H,A,A,A,H,H,H,H,H,H,H,B,B,H,H,A,H
59,0,0,23.42,23.39,23.44,0,18.58,41043,13.27,0.26,0.39,0.667,0,B,H,B,A,A,A,H,B,B,H,H,H,A,H,H,A,A,H,H,H,H,H,B,B,H,H,H,H,-,A,A,A,A,A,A,A,A,H,B,B,H,B,B,H,H,H,H,B,B,H,B,A,H,B,A,A,A,A,H,A,A,A,A,A,A,A,A,A,A,H,B,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,A,H,H,A,H,A,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,H,H,H,H,H,A,H,H,A,A
60,0,0,23.27,23.27,23.36,-0.8,20.58,45748,11.9,0.65,0.51,1.275,0,H,H,H,A,A,H,H,H,A,A,A,A,A,A,H,H,H,A,A,A,A,A,B,B,B,B,B,A,-,H,H,H,H,H,H,H,H,A,A,A,A,H,H,H,A,H,H,A,H,H,H,H,H,H,H,H,A,A,H,H,B,H,B,B,B,B,H,H,B,A,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,A,A,A,A,H,H,A,H,B,H,A,H,H,H,A,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,H,H,H,H
61,1,0,23.57,23.42,23.38,-6.59,11.94,28616,12.18,1.98,0.98,2.02,1,H,B,H,A,H,H,B,H,H,H,B,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,H,B,-,B,B,B,B,B,B,B,H,A,A,A,A,H,A,A,H,A,H,B,B,H,H,H,H,B,H,H,A,A,H,H,B,H,H,H,A,A,A,A,A,A,H,H,H,B,B,B,B,B,B,B,B,B,H,H,H,A,A,A,A,A,A,A,A,B,H,H,H,H,H,B,B,B,A,A,A,A,A,A,A,H,A,A,A,A,A,A,H,H,H,H,H,B,A,A,A
62,1,0,23.52,23.34,23.34,-1.14,15.46,30480,11.62,0.5,0.82,0.61,0,A,H,A,H,H,H,B,H,B,H,A,B,H,-,A,B,B,H,H,B,B,B,B,B,B,B,B,H,-,B,B,B,B,B,B,B,B,B,A,A,B,A,H,H,A,A,H,A,A,A,A,B,A,A,B,B,H,A,A,H,H,H,H,H,H,B,B,B,B,B,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,B,B,B,H,H,H,B,H,H,H,H,H,H,B,B,B,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,B,A
63,1,0,23.88,23.89,23.84,0.43,10.33,19152,12.87,0.36,0.4,0.9,0,H,B,H,B,B,H,A,A,H,H,H,A,H,H,H,A,A,A,H,H,H,H,H,H,H,B,B,H,-,H,H,H,H,H,H,H,H,H,B,B,H,B,B,B,B,A,H,A,A,H,H,H,H,H,H,H,B,H,B,A,H,H,H,H,H,H,A,A,H,H,B,B,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,H,B,B,B,B,B,H,A,H,B,B,B,B,B,B,H,B,H,H,H,H,H,H,H,B,B,B,B,A,A,B,B
64,0,0,23.95,23.9,23.68,0,13.2,28358,15.21,0.26,0.78,0.333,0,B,H,B,H,H,H,A,-,A,A,H,H,H,H,H,B,-,H,H,H,H,A,A,A,A,A,H,H,-,A,A,A,A,A,A,A,A,B,B,B,H,A,H,A,A,H,H,A,A,H,H,H,H,H,H,H,H,H,B,H,H,H,H,A,H,H,B,B,H,A,A,B,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,H,H,H,H,H,A,H,H,A,H,B,B,B,H,H,H,H,H,H,A,A,A,A,H,H,H,H,H,H,A,A,H,H,A,A
65,1,0,23.97,23.99,24.18,-0.45,16.19,27138,17.72,0.46,0.65,0.708,0,H,B,H,B,B,B,H,H,H,H,H,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,-,A,A,A,H,H,H,H,H,H,H,H,A,B,B,B,H,H,H,H,H,H,B,H,H,H,H,H,A,B,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,H,B,B,B,B,H,B,H,H,H,H,A,A,H,H,H,B,H,B,B,A,A,H,H,H,H,H,H,H,H,H,H,B,B,B,B
66,1,0,22.85,22.84,23.12,-1.82,18.66,27451,11.26,0.42,0.39,1.077,0,-,H,H,A,A,B,B,-,A,A,A,H,H,-,B,B,B,H,H,H,H,H,B,B,B,H,B,H,-,H,H,H,H,H,H,H,B,A,A,A,H,A,A,A,A,A,H,B,B,-,H,A,A,B,A,A,H,A,H,H,B,B,B,B,B,H,H,H,H,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,H,A,A,A,A,A,H,H,A,H,H,H,H,A,A,A,B,H,H,H,B,B,B,B,H,H,H,A,A,A,-,B
67,1,0,23.77,23.73,23.74,-1.8,8.79,31019,15.67,0.76,1.02,0.745,2,-,B,B,B,B,A,A,H,H,H,A,B,H,A,H,H,H,B,B,B,B,B,H,H,H,H,H,B,-,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,-,A,A,A,H,A,A,H,H,B,H,H,H,H,H,A,A,A,A,A,H,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,B,B,B,H,H,H,A,H,H,H,H,H,B,B,B,A,A,-,A
68,1,0,23.98,23.99,23.89,-1.36,4.95,17914,15.62,0.29,0.87,0.333,0,-,A,A,-,A,B,B,A,A,H,B,H,B,H,H,H,H,A,A,A,A,A,A,A,A,A,A,B,-,B,B,B,H,H,H,H,H,H,H,H,H,H,B,H,A,A,H,B,A,-,A,B,B,A,B,B,H,B,B,B,H,-,H,H,H,H,H,H,H,A,H,B,B,A,A,A,A,A,H,B,B,B,B,B,B,B,B,B,B,H,H,H,B,A,H,H,B,H,A,H,H,H,B,B,B,B,B,B,H,H,H,A,A,A,A,A,H,H,H,H,H,B,A,-,A
69,1,0,23.85,23.86,23.98,-3.18,7.84,18008,14.77,1.1,1.47,0.748,1,-,A,H,H,H,B,B,H,H,H,A,H,H,H,H,H,H,B,B,A,A,A,A,A,A,A,A,H,-,B,B,B,B,B,B,B,H,H,H,H,A,A,B,H,H,-,H,A,A,-,H,H,H,H,H,H,H,B,H,B,B,H,H,H,H,H,H,H,H,H,H,H,H,A,H,B,B,B,B,B,B,B,H,H,H,H,H,H,H,A,H,H,H,B,H,H,-,H,H,H,H,H,H,A,A,A,H,H,A,H,H,A,A,H,H,H,H,H,H,B,B,B,B,-,A
70,1,0,23.07,23.07,22.91,1.02,10.77,27560,12.85,0.2,0.78,0.256,0,H,B,H,B,B,A,A,A,H,A,A,H,B,B,H,H,H,H,H,H,H,H,H,H,H,H,B,A,-,H,H,H,B,B,B,B,B,A,A,H,H,B,A,H,H,H,H,H,H,H,H,H,H,B,H,H,A,H,A,A,-,B,-,H,H,H,H,H,H,B,A,H,H,A,A,A,A,A,A,A,A,H,A,A,A,H,H,H,H,H,H,H,H,B,B,H,H,B,H,H,A,A,B,B,H,H,A,A,A,H,H,B,H,B,B,H,H,H,H,A,A,A,A,A,A
71,1,0,23.95,23.97,23.93,-4.09,4.44,20522,20.76,1.39,0.97,1.433,3,A,B,A,B,B,A,A,H,H,H,H,B,B,H,H,H,H,A,A,A,A,A,A,H,H,B,B,A,-,A,A,A,A,A,A,A,H,A,A,H,H,A,A,A,A,A,H,H,H,A,A,A,A,H,A,A,-,A,B,A,B,B,H,H,H,H,H,H,H,A,H,A,A,A,A,A,A,H,H,H,H,A,H,H,H,H,H,H,H,H,B,B,B,A,H,H,H,H,H,H,H,H,B,H,H,H,A,A,A,A,A,A,B,H,H,H,A,A,H,A,A,B,A,A,A
72,0,0,23.35,23.35,23.37,-1.25,18,41898,12.45,0.49,0.96,0.51,0,A,A,A,H,A,B,B,H,B,H,H,H,B,-,H,H,H,H,H,H,H,H,H,H,A,A,A,A,-,H,H,H,H,H,H,H,A,H,H,H,B,H,B,H,A,A,A,A,H,H,H,A,A,H,A,A,-,B,B,B,-,A,A,A,H,H,H,H,H,H,B,B,B,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,H,H,H,H,H,H,H,H,A,H,H,H,-,A,A,H,H,B,B,H,H,H,H,H,H,B,H,H,H,H,A
73,0,0,23.48,23.46,23.38,-0.89,15.56,25355,12.99,0.49,0.83,0.59,0,B,B,B,H,H,A,A,A,B,B,B,A,B,H,H,H,H,H,B,-,H,-,-,H,H,H,H,B,-,-,-,-,-,-,H,-,H,B,B,B,B,H,H,H,A,A,A,B,H,A,A,A,A,H,A,A,B,B,B,B,A,A,H,-,H,H,A,H,H,H,B,B,H,B,B,B,B,B,-,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,B,B,H,B,H,B,B,H,A,H,B,B,A,A,H,H,A,A,A,H,H,H,H,H,H,H,B,H,H,H,A
74,0,0,23.45,23.39,23.09,0.43,15.54,30603,12.67,0.57,2.43,0.235,0,A,A,A,A,H,H,H,H,B,B,B,H,H,B,H,H,H,H,H,B,B,B,B,B,H,H,H,B,-,H,H,B,A,A,A,A,H,B,B,B,B,B,H,B,B,H,H,A,A,H,H,B,H,H,B,B,-,B,B,H,H,H,H,H,H,A,A,A,A,H,B,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,B,B,H,H,H,H,H,H,A,A,H,H,H,H,H,H,H,A,H,H,H,A,A,A,A,H,H,H,H,H,A,A,H,H
75,0,0,23.55,23.54,23.6,0.45,9.8,23001,11.28,0.15,0.55,0.273,0,H,H,H,B,B,H,H,H,A,H,H,B,H,B,H,B,B,H,H,H,H,H,H,B,B,B,H,H,-,H,H,H,H,H,H,H,B,H,B,B,B,B,B,B,B,B,H,B,H,H,H,H,H,H,H,H,A,B,A,B,A,A,A,A,H,H,A,A,H,A,H,B,B,A,A,A,A,A,H,H,H,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,A,A,H,H,B,H,A,A,H,H,H,H,H,H,H,A,A,A,A,H
76,0,0,23.47,23.47,23.44,-0.89,18.83,37181,14.42,0.55,0.72,0.764,0,B,B,B,H,A,H,A,A,A,A,A,H,B,B,H,H,H,B,B,B,B,B,B,B,B,H,A,B,-,B,B,B,B,B,B,B,B,H,H,H,H,B,A,H,H,B,H,B,H,A,H,A,A,H,A,A,H,A,H,A,A,H,H,H,H,B,B,B,B,B,B,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,H,H,H,H,H,H,B,B,H,B,B,B,B,A,A,-,A,A,A,H,B,B,B,B,B,B,H,A,H,A,A,A
77,1,0,23.22,23.32,23.07,-2.16,14.01,36765,15.47,0.89,0.75,1.187,1,H,H,H,H,A,H,H,A,A,A,A,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,-,B,B,B,B,B,B,B,B,B,H,B,B,-,B,B,H,B,H,B,B,B,B,B,B,B,H,H,B,B,B,B,H,H,H,H,A,A,H,H,A,A,H,H,H,-,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,A,A,H,A,H,H,H,B,H,H,H,H,A,H,H,H,H,H,H,H,B,B,B,B,B
78,1,0,23.5,23.26,23.32,-2.73,15.07,40314,14.18,1.47,1.2,1.225,1,H,H,H,B,H,A,A,H,H,H,H,H,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,-,B,H,H,H,H,H,H,H,H,H,H,B,H,A,A,B,H,B,B,B,B,B,B,B,B,B,B,H,B,-,H,B,B,-,H,H,H,H,H,H,A,H,B,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,B,H,H,H,H,H,B,B,B,B,B,B,B,H,H,H,A,B,B,B,B,H,B,B,H,A,A,A,A
79,0,0,22.83,22.79,23.02,0,18.01,36923,12.02,0.42,0.7,0.6,0,B,H,B,H,B,H,H,H,B,B,B,A,H,B,H,H,H,H,B,B,B,B,H,H,H,H,H,H,A,A,A,A,A,A,A,A,H,H,H,B,B,-,H,H,H,A,A,B,H,B,B,-,B,B,H,H,H,B,B,H,A,A,A,H,B,B,H,H,B,A,H,B,H,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,B,B,B,B,A,H,H,H,H,H,H,H,H,A,A,H,B,H,H,B,H,H,H,H,H,H,H,A,A,A,H,H,A,H,H,H
80,0,0,23.48,23.37,23.21,-0.91,17.19,40820,11.01,0.74,0.84,0.881,0,H,B,H,H,A,H,A,A,A,H,B,H,-,H,-,H,H,H,H,H,H,H,H,H,H,H,H,B,B,H,H,H,H,H,H,H,H,B,B,H,A,-,H,H,B,H,H,B,H,A,A,A,A,A,A,A,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,B,A,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,H,H,H,A,A,A,A,A,A,H,B,A,B,B,H,H,A,A,H,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
81,0,0,23.67,23.71,23.74,0.45,8.62,14204,12.74,0.18,0.78,0.231,0,B,B,B,B,H,B,H,H,H,H,H,A,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,-,A,H,H,B,B,H,H,H,H,-,H,H,H,H,H,H,B,B,B,B,B,H,H,H,H,B,H,B,B,A,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,B,H,H,H,H,H,H,A,A,B,H,B,H,H,A,A,H,H,H,A,A,A,A,A,H,H,H,H,H,H,H,H
